No,RSSI,CINR,GPS,Time,Uplink (Iperf) Transfer/Bandwidth,Downlink (Speedtest) Down/Up,Description
LOS1,-52.95,35.97,"(43.071154, -89.407634)",3:35:00,4/1.62,7.61/1.79,(Union South Dayton)
LOS1,-52.1,34.78,"(43.071154, -89.407634)",3:36:00,4.25/1.71,7.84/1.79,
LOS1,-51.9,36.61,"(43.071154, -89.407634)",3:37:00,4.12/1.65,7.42/1.82,
LOS1,-49.26,36.17,"(43.071154, -89.407634)",3:38:00,4.12/1.65,7.96/1.80,
LOS1,-53.7,36.56,"(43.071154, -89.407634)",3:39:00,4.25/1.70,7.96/1.81,
,,,,,,,
LOS2,-60.13,34.8,"(43.068997, -89.410766)",4:16:00,4.25/1.69,6.91/1.47,(parking meter outside credit union)
LOS2,-57.82,34.51,"(43.068997, -89.410766)",4:17:00,4.25/1.69,7.60/1.80,
LOS2,-59.45,34.65,"(43.068997, -89.410766)",4:18:00,4.25/1.69,6.89/1.83,
LOS2,-57.42,35.29,"(43.068997, -89.410766)",4:19:00,4.25/1.70,7.21/1.79,
LOS2,-57.53,34.97,"(43.068997, -89.410766)",4:20:00,4.25/1.71,5.94/1.82,
,,,,,,,
LOS3,-65.6,33.83,"(43.067926, -89.412706)",4:25:00,4.25/1.69,7.61/0.93,(Regent Monroe junction sitting down)
LOS3,-72.63,32.41,"(43.067926, -89.412706)",4:26:00,4.12/1.66,5.13/1.67,
LOS3,-70.64,33.12,"(43.067926, -89.412706)",4:27:00,2.62/1.02,6.35/1.17,
LOS3,-71.31,33.14,"(43.067926, -89.412706)",4:28:00,3.12/1.25,6.93/1.77,
LOS3,-71.88,32.49,"(43.067926, -89.412706)",4:29:00,4.25/1.69,7.27/1.74,
,,,,,,,
LOS4,-69.47,31.64,"(43.066906, -89.414356)",4:49:00,3/1.14,7.16/0.98,(after pizza pit extreme)
LOS4,-70.22,31.47,"(43.066906, -89.414356)",4:50:00,2.62/1.05,4.95/0.97,
LOS4,-69.73,31.69,"(43.066906, -89.414356)",4:51:00,2.88/1.13,7.96/1.60,
